receipt_id,brand_code,barcode,quantity_purchased,final_price,item_price,price_after_coupon,points_earned,points_payer_id,needs_fetch_review,needs_fetch_review_reason,description,original_receipt_item_text,metabrite_campaign_id,original_meta_brite_barcode,original_meta_brite_description,original_final_price,original_meta_brite_item_price,original_meta_brite_quantity_purchased,user_flagged_barcode,user_flagged_description,user_flagged_new_item,user_flagged_price,user_flagged_quantity,item_number,partner_item_id,points_not_awarded_reason,rewards_group,rewards_product_partner_id,target_price,prevent_target_gap_points,competitor_rewards_group,competitive_product,discounted_item_price,deleted
5ff1e1eb0a720f0523000575,,4011,5,26.0,26.0,0.0,0,,False,,ITEM NOT FOUND,,,,,0.0,0.0,0,4011,,True,26.0,5,,1,,,,0.0,True,,0,0.0,False
5ff1e1bb0a720f052300056b,,4011,1,1.0,1.0,0.0,0,,False,,ITEM NOT FOUND,,,,,0.0,0.0,0,,,False,0.0,0,,1,,,,0.0,False,,0,0.0,False
5ff1e1bb0a720f052300056b,,028400642255,1,10.0,10.0,0.0,0,5332f5fbe4b03c9a25efd0ba,True,USER_FLAGGED,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,,,,,0.0,0.0,0,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,True,10.0,1,,2,Action not allowed for user and CPG,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,0.0,True,,0,0.0,False
5ff1e1f10a720f052300057a,,,0,0.0,0.0,0.0,0,,False,,,,,,,0.0,0.0,0,4011,,True,26.0,3,,1,,,,0.0,True,,0,0.0,False
5ff1e1ee0a7214ada100056f,,4011,4,28.0,28.0,0.0,0,,False,,ITEM NOT FOUND,,,,,0.0,0.0,0,4011,,True,28.0,4,,1,,,,0.0,True,,0,0.0,False
5ff1e1d20a7214ada1000561,,4011,1,1.0,1.0,0.0,0,,False,,ITEM NOT FOUND,,,,,0.0,0.0,0,,,False,0.0,0,,1,,,,0.0,False,,0,0.0,False
5ff1e1d20a7214ada1000561,,1234,3,2.56,2.56,0.0,0,,True,USER_FLAGGED,,,,,,0.0,0.0,0,1234,,True,2.56,3,,2,,,,0.0,True,,0,0.0,False
5ff1e1e40a7214ada1000566,,4011,1,3.25,3.25,0.0,0,5332f5fbe4b03c9a25efd0ba,False,,ITEM NOT FOUND,,,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,0.0,0.0,0,4011,,False,0.0,0,,1,Action not allowed for user and CPG,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,0.0,True,,0,0.0,False
5ff1e1cd0a720f052300056f,MISSION,,1,2.23,2.23,0.0,0,,False,,MSSN TORTLLA,MSSN TORTLLA,,,,0.0,0.0,0,,,False,0.0,0,,1009,,,,0.0,False,TACO BELL TACO SHELLS,0,2.23,False
5ff1e1a40a720f0523000569,BRAND,046000832517,1,10.0,10.0,0.0,0,5332f5f3e4b03c9a25efd0ae,False,,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",,,,,0.0,0.0,0,,,False,0.0,0,,0,Action not allowed for user and CPG,OLD EL PASO BEANS & PEPPERS,5332f5f3e4b03c9a25efd0ae,0.0,False,,0,0.0,False
5ff1e1ed0a7214ada100056e,,4011,5,20.0,20.0,0.0,0,,False,,ITEM NOT FOUND,,,,,0.0,0.0,0,4011,,True,20.0,5,,1,,,,0.0,True,,0,0.0,False
5ff1e1eb0a7214ada100056b,,4011,3,20.0,20.0,0.0,0,,False,,ITEM NOT FOUND,,,,,0.0,0.0,0,4011,,True,20.0,3,,1,,,,0.0,True,,0,0.0,False
5ff1e1c50a720f052300056c,,4011,1,1.0,1.0,0.0,0,,False,,ITEM NOT FOUND,,,,,0.0,0.0,0,,,False,0.0,0,,1,,,,0.0,False,,0,0.0,False
5ff1e1a10a720f0523000568,,013562300631,5,50.0,50.0,0.0,0,5332f5f3e4b03c9a25efd0ae,True,POINTS_GREATER_THAN_THRESHOLD,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",,,,,0.0,0.0,1,,,False,0.0,0,013562300631,1,Action not allowed for user and CPG,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,5332f5f3e4b03c9a25efd0ae,0.0,False,,0,50.0,False
5ff1e1b60a7214ada100055c,,034100573065,1,29.0,29.0,0.0,870,5332f709e4b03c9a25efd0f1,False,,MILLER LITE 24 PACK 12OZ CAN,,,,,0.0,0.0,0,,,False,0.0,0,,1,,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77.0,False,,0,0.0,False
5ff1e1b60a7214ada100055c,,034100573065,1,29.0,29.0,0.0,870,5332f709e4b03c9a25efd0f1,False,,MILLER LITE 24 PACK 12OZ CAN,,,,,0.0,0.0,0,,,False,0.0,0,,2,,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77.0,False,,0,0.0,False
5ff1e1b60a7214ada100055c,,034100573065,1,29.0,29.0,0.0,870,5332f709e4b03c9a25efd0f1,False,,MILLER LITE 24 PACK 12OZ CAN,,,,,0.0,0.0,0,,,False,0.0,0,,3,,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,77.0,False,,0,0.0,False
